Orig_subID,Orig_ses,Original_file,Renamed_subID,Renamed_ses,Renamed_file,nvols,type,image_folder,image_type
sub-MILO,ses-20220405,sub-MILO_ses-20220405_run-1_T1w.nii.gz,sub-001,ses-016,sub-001_ses-016_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220405,sub-MILO_ses-20220405_run-1_T1w.json,sub-001,ses-016,sub-001_ses-016_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220405,sub-MILO_ses-20220405_run-2_T1w.nii.gz,sub-001,ses-016,sub-001_ses-016_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220405,sub-MILO_ses-20220405_run-2_T1w.json,sub-001,ses-016,sub-001_ses-016_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220405,sub-MILO_ses-20220405_T2w.nii.gz,sub-001,ses-016,sub-001_ses-016_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220405,sub-MILO_ses-20220405_T2w.json,sub-001,ses-016,sub-001_ses-016_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220419,sub-MILO_ses-20220419_run-1_T1w.nii.gz,sub-001,ses-017,sub-001_ses-017_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220419,sub-MILO_ses-20220419_run-1_T1w.json,sub-001,ses-017,sub-001_ses-017_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220419,sub-MILO_ses-20220419_run-2_T1w.nii.gz,sub-001,ses-017,sub-001_ses-017_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220419,sub-MILO_ses-20220419_run-2_T1w.json,sub-001,ses-017,sub-001_ses-017_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220419,sub-MILO_ses-20220419_T2w.nii.gz,sub-001,ses-017,sub-001_ses-017_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220419,sub-MILO_ses-20220419_T2w.json,sub-001,ses-017,sub-001_ses-017_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220505,sub-MILO_ses-20220505_run-1_T1w.nii.gz,sub-001,ses-018,sub-001_ses-018_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220505,sub-MILO_ses-20220505_run-1_T1w.json,sub-001,ses-018,sub-001_ses-018_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220505,sub-MILO_ses-20220505_run-2_T1w.nii.gz,sub-001,ses-018,sub-001_ses-018_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220505,sub-MILO_ses-20220505_run-2_T1w.json,sub-001,ses-018,sub-001_ses-018_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220505,sub-MILO_ses-20220505_T2w.nii.gz,sub-001,ses-018,sub-001_ses-018_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220505,sub-MILO_ses-20220505_T2w.json,sub-001,ses-018,sub-001_ses-018_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220517,sub-MILO_ses-20220517_run-1_T1w.nii.gz,sub-001,ses-019,sub-001_ses-019_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220517,sub-MILO_ses-20220517_run-1_T1w.json,sub-001,ses-019,sub-001_ses-019_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220517,sub-MILO_ses-20220517_run-2_T1w.nii.gz,sub-001,ses-019,sub-001_ses-019_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220517,sub-MILO_ses-20220517_run-2_T1w.json,sub-001,ses-019,sub-001_ses-019_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220517,sub-MILO_ses-20220517_T2w.nii.gz,sub-001,ses-019,sub-001_ses-019_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220517,sub-MILO_ses-20220517_T2w.json,sub-001,ses-019,sub-001_ses-019_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220602,sub-MILO_ses-20220602_run-1_T1w.nii.gz,sub-001,ses-020,sub-001_ses-020_run-1_T1w.nii.gz,1,nifti,anat,T1w
